nombre,director,anio,resumen,poster
Piratas del Caribe,Gore Verbinski,2003,"Cuando el astuto y encantador Capitán Jack Sparrow se cruza con un grupo de piratas decididos a saquear el barco de la Marina Real Británica ""Interceptor"" y su valioso botín",https://musicart.xboxlive.com/7/d6491100-0000-0000-0000-000000000002/504/image.jpg?w=1920&h=1080
La Bella y la Bestia,Bill Condon,2017,Una joven hermosa e inteligente Bella es tomada prisionera por una bestia en su castillo. A pesar de sus temores ella aprende a mirar más allá del exterior de la Bestia y descubre la verdadera alma y el corazón del príncipe que yace dentro de él,https://m.media-amazon.com/images/M/MV5BNTVlM2ZkODMtMzM1MC00MzYzLTk5ZGYtMGZlNmQxM2U4ZGZmXkEyXkFqcGdeQXVyMTI5MTM4Njc1._V1_.jpg
Hombres de Negro,Barry Sonnenfeld,1997,Un policía de Nueva York se une a un agente secreto para combatir extraterrestres que están invadiendo la Tierra,https://m.media-amazon.com/images/M/MV5BMTU2NTYxODcwMF5BMl5BanBnXkFtZTcwNDk1NDY0Nw@@._V1_FMjpg_UX1000_.jpg
Los Vengadores,Joss Whedon,2012,Cuando un enemigo inesperado amenaza con poner en peligro la seguridad mundial Nick Fury director de la agencia internacional para el mantenimiento de la paz conocida como SHIELD encuentra la necesidad de reunir a un equipo para detener a una amenaza en aumento. Así comienza una aventura épica que pondrá a prueba a Iron Man Capitán América Thor Hulk Viuda Negra y Ojo de Halcón,https://m.media-amazon.com/images/M/MV5BNDYxNjQyMjAtNTdiOS00NGYwLWFmNTAtNThmYjU5ZGI2YTI1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_FMjpg_UX1000_.jpg
Iron Man,Jon Favreau,2008,Tony Stark  un multimillonario industrial es capturado por enemigos en el extranjero y se ve obligado a construir un arma devastadora. En lugar de eso crea una armadura de alta tecnología y escapa de sus captores. Cuando regresa a casa decide usar su armadura para luchar contra el crimen como Iron Man,https://cdn.marvel.com/u/prod/marvel/i/mg/2/90/5f5bbff71dec4/clean.jpg
Cisne Negro,Darren Aronofsky,2010,Nina es una bailarina en una compañía de ballet de Nueva York cuya vida como todos los demás en su profesión está completamente consumida con la danza. Ella vive con su madre Erica una bailarina retirada que apoya las aspiraciones profesionales de su hija con un zelo enfermizo,https://prod-ripcut-delivery.disney-plus.net/v1/variant/star/42586510B4566AC02AB441D64E3E1EDDF103DC037E43188B889E36416995822F/scale?width=506&aspectRatio=2.00&format=jpeg
Jumanji,Joe Johnston,1995,Cuando dos niños encuentran y juegan un juego de mesa mágico liberan a un hombre atrapado dentro. Con cada turno suceden cosas impredecibles y los cuatro amigos que se unen al juego pronto se dan cuenta de que tendrán que sobrevivir hasta el final para salir de él,https://images.squarespace-cdn.com/content/v1/5a90557e1137a6fdeeb6bb3e/1606235202827-WNP35W3GGG6TT4HCJBLP/0c4b158e50cdf2cc94d8ab630f23ef81.jpg
El diablo viste de Prada,David Frankel,2006,Una recién graduada de la universidad consigue un trabajo como asistente de la editora en jefe de una revista de moda de Nueva York y debe lidiar con la jefa cruel y exigente,https://es.web.img3.acsta.net/medias/nmedia/18/69/57/03/20063918.jpg
Pulp Fiction,Barry Sonnenfeld,1997,Un policía de Nueva York se une a un agente secreto para combatir extraterrestres que están invadiendo la Tierra,https://resize-media.festival-cannes.com/fit-in/1600x903/film_film/0002/13/6173d51ead0a8a2b7bad7d65bf340b02d35d2ed9.jpeg
El Padrino,Francis Ford Coppola,1972,La vida de una poderosa familia de la mafia,https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_FMjpg_UX1000_.jpg
